timestamp, uid, type, description, duration
1678384263366, d79ed6ab6d494751bdd81b5590021bf9, move to load/unload tool position, 7920
1678384271290, d3e9a550b5cf40d8a6c3e72ec5f3008d, load web C drilling effector, 1527
1678384272820, 3f8d0faf13aa4afd8fcf22498745f73a, move to station position for web works of rail y+1292, 26762
1678384299584, e6e28a574e294080927b03cf749a3cdb, move to the approach position for web works of rail y+1292, 14304
1678384313891, 5520e3124f9b480e9c9097a31f8d6118, move to position for works on asna2392-3-04.39, 6285
1678384320179, 460974f2113f4168b44137a9897d8800, move to position for works on asna2392-3-04.40, 4197
1678384324378, a60348cb590c47e2ace4d87d0ee280e8, move to position for works on asna2392-3-04.42, 4158
1678384328538, 420d4f30fa704d619c3b0ff319a59282, move to position for works on asna2392-3-04.41, 4178
1678384332719, afb5e112f5494a67a35e201abc48f1db, move to position for works on asna2392-3-04.43, 4140
1678384336862, 0272a7fd92074411b4f1c6e7abfbb4e2, move to position for works on asna2392-3-04.44, 4184
1678384341048, 1961467be12849a6a5d074828a306148, move to position for works on asna2392-3-04.45, 4178
1678384345228, 5a284f89e922472d83da9a476ccb9cc9, move to position for works on asna2392-3-04.46, 3113
1678384348345, 9a36a9ad1649483cb82b8822e5a985b4, move to position for works on asna2392-3-04.47, 3129
1678384351476, a25c5678f272485fa8fdad8008f7ff82, move to position for works on asna2392-3-04.48, 3112
1678384354589, a2595221fe6c4b65be2ef49ee185f58f, move to position for works on asna2392-3-04.49, 3103
1678384357694, 6a692c6916fa4ce296e218d42dc76e16, move to position for works on asna2392-3-04.50, 3154
1678384360850, 3356d00324744fc7958e81031afb5acd, move to position for works on en6115v3-4.44, 3113
1678384363965, 000b28c82eac4e9bb1a8141e591cad64, move to position for works on en6115v3-4.43, 3122
1678384367089, b1afb4bd1578418c821a2f2932ae964e, move to position for works on asna2392-3-04.52, 3104
1678384370195, 1fc1c407b0504daeab1453434ade93fa, move to position for works on asna2392-3-04.51, 3118
1678384373315, 20af396da27a448ca3a6c9bf801d41c2, move to position for works on asna2392-3-04.54, 3114
1678384376431, 4ddb0a1a8cc34a798aef9d815a3c5c12, move to position for works on asna2392-3-04.53, 3138
1678384379571, ed02776c89474ca6be70f402786a2f0c, move to position for works on asna2392-3-04.56, 3122
1678384382695, f9ccca1fc7984e409f827acf7cbc3950, move to position for works on asna2392-3-04.55, 3115
1678384385812, 3776a4dda7a14e349e7e35a766f38998, move to position for works on asna2392-3-04.58, 3127
1678384388941, 7e35e99ef62b496ebe2a8e85c21e72c4, move to position for works on asna2392-3-04.57, 3132
1678384392075, 35ecb7151a8a4670b252c1d9df1d2872, move to position for works on asna2392-3-04.60, 3118
1678384395196, cb1ba9b6887545b3a33f8300788c6057, move to position for works on asna2392-3-04.59, 3143
1678384398341, d6042856b99449e993b2252d30aa2a17, move to position for works on asna2392-3-04.62, 3142
1678384401485, 5d4f99f2e3a94928b37f7b13df8a51d1, move to position for works on asna2392-3-04.61, 3336
1678384404823, 05ea70dc8c534b4ba5fd61f851a7d575, move from position in web works of rail y+1292 to arm move station position, 28074
1678384432899, 5e5e18dfc1324c1397b934578aa03fb6, move to station position for web works of rail y+254, 25745
1678384458647, 149420b1ed4d4bd7abd7bf46a7a089f5, move to the approach position for web works of rail y+254, 14539
1678384473188, 4a92bf82b310486bb74d95b3eec10331, move to position for works on asna2392-3-04.150, 5235
1678384478425, b6d4ce207af642d3bf522389d5b566d5, move to position for works on asna2392-3-04.147, 3129
1678384481556, 19461d253b7946bb9da715bbb91e6040, move to position for works on asna2392-3-04.149, 3130
1678384484688, 795dc0cb0eda4650a2a463e097a9de3c, move to position for works on asna2392-3-04.146, 3333
1678384488023, ea90ac6a0f9a487baa04ba5d9f75bdf1, move to position for works on asna2392-3-04.148, 3094
1678384491120, 54829fc938f44e82ad3408fd6cb6a3a4, move to position for works on asna2392-3-04.145, 3116
1678384494238, 4e00f0777d9343f385005c98977c40e0, move to position for works on asna2392-3-04.144, 3123
1678384497363, c5d74a872a604772927fab67ec3e9873, move to position for works on asna2392-3-04.143, 3140
1678384500506, 0391680cf5104c0fa16e45c956802fed, move to position for works on en6115v3-4.253, 3093
1678384503602, d379b59eacbd49a599617676e84e85ce, move to position for works on en6115v3-4.254, 3106
1678384506710, 22334c526ebf486cabd9fc96854de7a3, move to position for works on asna2392-3-04.142, 3118
1678384509830, 9e1e2a57906442b99a940f9c268bf79d, move to position for works on asna2392-3-04.138, 3106
1678384512939, 845397e4dad74e0ba53896f2636a5071, move to position for works on asna2392-3-04.137, 3118
